index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
87,32,"արտադրատեսակների արտադրություն, չներառված ուրիշ խմբավորումներում  ",Other countries,,,,,,,,,,,,,,,,,,,27299.1,
88,33,մեքենաների և սարքավորան-քի նորոգում և տեղադրում,Russian Federation,,,,,,,,,,,,,,,,,110.4,,,
89,33,մեքենաների և սարքավորան-քի նորոգում և տեղադրում,Other countries,,,,,,,,,,,,,,,,,,,235.7,
90,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",International organizations,,,,,,,,,,,,,,,175.5,,11149.1,,6512.6,
91,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Cyprus,,,465.9,465.9,1942.1,1942.1,491.7,491.7,,,,,,,41749,5036.7,10064.5,10064.5,7933.2,1199.6
92,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Czech Republic,,,,,,,,,,,13.2,13.2,204.1,204.1,260.9,74.2,83.5,83.5,2.2,2.2
93,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Denmark,-0.3,-0.3,,,,,,,,,,,,,,,,,,
94,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Finland,13835.2,211.3,334.4,,167.4,,1723.8,162.7,4245.5,2566.4,1063.4,1947.8,,,,,,,,
95,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",France,,,,,,,,,,,,,,,,,,,308.9,308.9
96,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Germany,,,,,,,,,443.2,297.4,25494.1,8977.3,12195.4,4219.4,9280.2,5435.8,6379,5553.4,1949.6,159.7
97,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Iran,Islamic Republic of",,,,,,,,,,,,,,,14544.5,,2873.8,,523.3,
98,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Italy,,,,,,,,,664.7,446.1,38241.1,13465.9,18293.1,6329,13920.3,8153.7,9568.6,8330,230.4,239.5
99,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Japan,,,,,,,,,,,,,,,1872,,6545.3,,1917.1,
100,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Luxembourg,,,27308.1,27308.1,47142.2,10390.1,1296.9,23611,893.8,1652.1,3516,4.3,7046.8,4947.7,3202.5,1563.4,4616.9,1085.4,708.5,730.2
101,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Netherlands,,,,,,,,,,,,,,,,,,,1542.2,
102,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Norway,-0.2,-0.2,,,,,,,,,,,,,,,,,,
