,index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
151,152,51,air transport,Georgia,,,,,1009,135.5,181.2,83.6,2547.1,761.5,798.4,1118.4,828.5,202.6,265.4,35,1650,413.4,2488.8,2488.8
152,153,51,air transport,Luxembourg,,,,,,,,,,,,,,,,,,,24639.7,24639.7
153,154,51,air transport,United Arab Emirates,,,,,,,,,,,,,,,,,2294.5,1645.6,579.9,1501.1
154,155,51,air transport,Ukraine,,,,,,,188.3,188.3,110.9,110.9,57.1,57.1,350.8,350.8,,,,,,
155,156,51,air transport,United Kingdom,2068.3,,,,,,,,,,,,,,,,,,,
156,157,51,air transport,Other countries,,,,,,,,,,,,,,,,,,,458.5,
157,158,52,warehousing and support activities for transportation, Argentina,,,,,,,,,,,,,,,610.9,610.9,,,,
158,159,52,warehousing and support activities for transportation,Georgia,10.8,9.9,0.5,0.2,1.1,1.8,0.1,,12.3,8.3,1.4,,,,,,,,,
159,160,52,warehousing and support activities for transportation,"Iran,Islamic Republic of",45.6,45.6,45.6,45.6,,,,,,,,,,,,,,,,
160,161,52,warehousing and support activities for transportation,Luxembourg,,,,,,,,,,,,,,,,,2957.4,2957.4,5462.1,5462.1
161,162,52,warehousing and support activities for transportation,United States,5.7,5.7,,,,,,,,,,,,,,,,,,
162,163,55,accommodation,"Virgin Islands, British",186,,217.9,,273.2,,,,,,,,,,0.8,,382.4,393.7,1534.4,1790.2
163,164,55,accommodation,Cyprus,3628.5,2892.5,218,772.1,35028.9,33865.2,4951.6,2665.6,4423.4,4162.4,4029,4003.4,1827.2,1409.7,5057,5070.3,1628.2,1667.2,1362.2,1362.2
164,165,55,accommodation,France,16.8,16.8,45.1,56.1,20.2,20.2,0.3,18,31.7,31.7,1.4,1.4,48.5,48.5,15.9,6.5,16.2,36.4,96.7,86.9
165,166,55,accommodation,Italy,452.5,452.5,4104.5,4057.6,2532.1,2568.6,96.1,173.6,860.8,858.2,972.3,972.3,,,868.5,868.5,800,800,1664.8,1664.8
166,167,55,accommodation,Russian Federation,26.5,26.5,2,2,1.5,1.5,,,,,,,,,,,,,184.5,
167,168,55,accommodation,Switzerland,,,,,,,,,,,,,,,158.5,,2.9,,942.9,
168,169,55,accommodation,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,257.4,
169,170,55,accommodation,United Kingdom,26.5,26.5,2,2,1.5,1.5,,,58.7,58.7,153.1,153.1,212.2,212.2,353.5,353.5,574.7,574.7,689.9,689.9
170,171,55,accommodation,United States,166.4,116.3,3159.9,69.9,331.4,393.5,2366,184.4,206.7,122.2,1440.6,116,1618.3,753.4,1306.9,1252.8,503.8,816.1,1227.3,5.7
171,172,55,accommodation,Other countries,,,,,,,,,,,,,,,,,,,4.9,
172,173,56,food and beverage service activities,United Kingdom,,,,,,,751.1,,86.2,86.2,389.3,389.3,62.4,62.4,361.1,361.1,1449.1,1449.1,187.8,187.8
173,174,61,telecommunications,International organizations,,,,,,,,,,,,,,,,,,,983.5,
